,Clean_Code,Clean_City,City_Count,Corrected_City,Score
2966,CH,VALDIVIA 1,4,VALDIVIA,95
2967,CH,VALPARAISO,1,VALPARAISO,100
2968,CH,VANDOEUVRES,1,VAN,90
2969,CH,VAUD,11,VAUD,68
2970,CH,VERNIER,3,VERNIER,77
2971,CH,VEVEY,1,VEVEY,72
2972,CH,VIENNA,1,VIENNA,100
2973,CH,VILLARS SOUS YENS,1,VILLARS SOUS YENS,72
2974,CH,VILLARS SUR GLANE,1,SUR,90
2975,CH,VILLARSSURGIANE,1,SUR,90
2976,CH,VILLAZ ST PIERRE,1,PIERRE,90
2977,CH,VILLMERGEN,1,VILLMERGEN,77
2978,CH,VINA DEL MAR,2,VINA DEL MAR,100
2979,CH,VISP,3,VISP,77
2980,CH,VOLKETSWIL,1,VOLKETSWIL,72
2981,CH,WALISELLEN,1,WA,90
2982,CH,WETTINGEN,1,WETTINGEN,78
2983,CH,WIDNAU,1,WIDNAU,71
2984,CH,WIEN,1,WIENER NEUSTADT,90
2985,CH,WINTERTHUR,40,WINTERTHUR,72
2986,CH,WITTERSWIL,1,WITTERSWIL,68
2987,CH,WITTERSWILL,1,WITTERSWILL,68
2988,CH,WOHLEN,1,WOHLEN,77
2989,CH,WOLLERAU,1,WOLLERAU,77
2990,CH,YVERDON,1,YVERDON,77
2991,CH,YVERDON LES BAINS,1,LES CAYES,86
2992,CH,ZERMATT,1,ZERMATT,68
2993,CH,ZOFINGEN,3,ZOFINGEN,77
2994,CH,ZOLLIKON,1,ZOLLIKON,68
2995,CH,ZORICH,7,ZURICH,83
2996,CH,ZUERICH,73,ZURICH,92
2997,CH,ZUG,19,ZUG,100
2998,CH,ZURCIH,1,ZURICH,83
2999,CH,ZURICH,900,ZURICH,100
3000,CH,ZURICH AIRPORT,19,PO,90
3001,CH,ZURICH FLUGAHEN,1,LUGA,90
3002,CH,ZURICH FLUGHAFEN,5,ZURICH,90
3003,CH,ZURICH SCHLIEREN,2,ZURICH,90
3004,CH,ZURICHFLUGHAFEN,1,ZURICH,90
3005,CH,ZUROCH,1,ZURICH,83
3006,CH,ZURZACH,2,ZURZACH,77
3007,CI,ABIDJAN,11,ABIDJAN,100
3008,CI,BEIJING,8,BEIJING,100
3009,CI,CHILE,1,CHILECITO,90
3010,CI,DAKAR,3,DAKAR,100
3011,CI,DUANDONG,1,DANDONG,93
3012,CI,HONG KONG,1,HONG KONG,100
3013,CI,SANTIAGO,9,SANTIAGO,100
3014,CI,SHA,1,ZAREH SHARAN,90
3015,CI,SHANGHAI,14,SHANGHAI,100
3016,CI,SHENZHEN,8,SHENZHEN,100
3017,CI,XIAN,1,XIAN,100
3018,CI,YAMOUSSOUKRO,1,YAMOUSSOUKRO,100
3019,CK,HILLEROD,1,HILLEROD,100
3020,CK,KOBENHAVN SV,1,KOBENHAVN,95
3021,CL,5624107000,1,5624107000,10
3022,CL,ANOFAGASTA,1,ANTOFAGASTA,95
3023,CL,ANTAFAGASTA,27,ANTOFAGASTA,91
3024,CL,ANTIAGO,1,SANTIAGO,93
3025,CL,ANTIAGO DE CHILE,1,25 DE MAYO,86
3026,CL,ANTOFAGASTA,577,ANTOFAGASTA,100
3027,CL,ANTOFASGASTA,1,ANTOFAGASTA,96
3028,CL,ANTOFGASTA,1,ANTOFAGASTA,95
3029,CL,ANTOFOGASTA,1,ANTOFAGASTA,91
3030,CL,ARICA,21,ARICA,100
3031,CL,ARMENIA,1,ARMENIA,100
3032,CL,BARRANQUILLA,4,BARRANQUILLA,100
3033,CL,BOGOTA,12,BOGOTA,100
3034,CL,BUCARAMANGA,3,BUCARAMANGA,100
3035,CL,BUCARAMNGA,1,BUCARAMANGA,95
3036,CL,CHILE,2,CHILECITO,90
3037,CL,CHILLAN,66,CHILLAN,100
3038,CL,COCEPCION,1,CONCEPCION,95
3039,CL,CONCEPCION,223,CONCEPCION,100
3040,CL,CONCEPTION,2,CONCEPCION,90
3041,CL,CONCHAL,6,CONCHAL,77
3042,CL,COQUIMBO,26,COQUIMBO,100
3043,CL,INDEPENDENCIA,6,ENDE,90
3044,CL,INDEPENDENCIA SA,24,ENDE,90
3045,CL,IQUIQUE,39,IQUIQUE,100
3046,CL,LA CISTERNA,3,LA PAZ,86
3047,CL,LA CISTERNA SANT,10,SAN,90
3048,CL,LA FLORIDA,47,FLORIDA,95
3049,CL,LA SERENA,145,LA SERENA,100
3050,CL,LAS CONDES,211,SAN CRISTOBAL DE LAS CASAS,86
3051,CL,LAS CONDES SANTI,66,SAN,90
3052,CL,LAS HIGUERAS,4,LAS HERAS,86
3053,CL,LOS ANGELES,7,LOS ANGELES,100
3054,CL,LOS ANGELES CHILE,6,LOS ANGELES,90
3055,CL,MACUL,2,ACU,90
3056,CL,MACUL SANTIAGO,16,ACU,90
